0.05,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.1,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.15,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.2,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.25,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.3,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.35,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.4,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.45,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.5,0.05,0.05,-0,0.02,0.045,0.99996,-6.1846e-17,-2.2204e-16,0.0087265
0.05,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.1,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.15,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.2,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.25,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.3,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.35,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.4,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.45,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.5,0.05,0.05,-0,0.02,0.045,0.99992,-0.0087262,7.6152e-05,0.0087262
0.05,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.1,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.15,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.2,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.25,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.3,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.35,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.4,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
0.45,0.05,0.05,-0,0.02,0.045,0.99981,-0.017452,0.0001523,0.0087252
